variable,vif,tolerance
GI,1.540098868017053,.64930898
OPEN,1.308881719100665,.76401097
SCCD,28.20951348875457,.035449035
SCCD2,24.92981405803356,.040112615
UR,2.039281502386673,.49036878
URG,1.630865027842426,.61317152
