diagnostic,value,p_value,notes
First-stage F for SCCD,61.547595, 0.000000,Excluded instruments IV and IV2
First-stage F for SCCD2,80.439193, 0.000000,Excluded instruments IV and IV2
Kleibergen-Paap rk LM,   45.159808, 0.000000,Underidentification test from observed-sample ivreg2 diagnostic
Kleibergen-Paap rk Wald F,  380.734605,        .,Weak-instrument test from observed-sample ivreg2 diagnostic
Cragg-Donald Wald F, 1708.507595,,Reported by ivreg2; Stock-Yogo critical values assume i.i.d. errors
Overidentification test,,,Not applicable: exactly identified
